option1,option2,option1Votes,option2Votes,recommended,active,available,hidden,like,dislike
Lose the ability to read,Lose the ability to speak,87440,49538,0,1,1,0,0,0
Lose the ability to read,Lose the ability to speak,87440,49539,0,1,1,0,0,0
Be the richest person in the world and live your intended lifetime,Be poor and live forever,106105,28651,0,1,1,0,0,0
Lose the ability to read,Lose the ability to speak,87440,49540,0,1,1,0,0,0
Be the richest person in the world and live your intended lifetime,Be poor and live forever,106105,28652,0,1,1,0,0,0
Time travel one time and return,Control humans with your mind forever,35124,98606,0,1,1,0,0,0
Lose the ability to pee,Lose the ability to poop,52291,81324,0,1,1,0,0,0
See one day into your own future,Visit the after-life one time and return,47865,85298,0,1,1,0,0,0
Be a King/Queen of an empire 2500 years ago,Be the president/prime minister today,61347,72035,0,1,1,0,0,0
Post every text message you ever sent on the internet,Have tattoos on your forehead depicting everything you did the day before,98744,49059,0,1,1,0,0,0
Live stream your entire life for everyone to see,Anyone around you can hear your thoughts for the rest of your life,103015,44964,0,1,1,0,0,0
Live to be 400 and look 400 your entire life,Live to be 80 and look 25 your entire life,24556,108748,0,1,1,0,0,0
Never be able to use toilet paper,Never be able to brush your teeth,95894,37689,0,1,1,0,0,0
Be able to stop time whenever you wanted,Get whatever you want just by thinking it (except life),48692,84141,0,1,1,0,0,0
Randomly time travel +/- 20 years every time you pass gas,"Teleport to a different place on earth every time you sneeze (land, not water)",46656,101359,0,1,1,0,0,0
Have to scream as loud as you can before starting every conversation “I'm a Leprechaun”,Have to smack every person you have a conversation with and call them an idiot,81224,66113,0,1,1,0,0,0
Have your skin change colors based on your emotions forever,Wake up every morning with a randomly different face for a year,76130,56028,0,1,1,0,0,0
Go into the past and meet your ancestors,Go into the future and meet your great-great grandchildren,60539,71558,0,1,1,0,0,0
Be Elon Musk,Be Jeff Bezos,91573,42724,0,1,1,0,0,0
Be able to have nine lives,Be able to have $9 million dollars with one life,70850,62979,0,1,1,0,0,0
Save your spouse,Save your child,52910,97205,0,1,1,0,0,0
Never have to go to work a day in your life,Never feel tired a day in your life,57591,75528,0,1,1,0,0,0
Be the smartest person in the world,Be the wealthiest person in the world,76141,58035,0,1,1,0,0,0
Live in constant fear of being assasinated,Have a traumatic injury in your young adult life (full recovery: 5 years),38057,93433,0,1,1,0,0,0
Lick the bottom of a worn shoe,Eat from a strangers feet,96513,35507,0,1,1,0,0,0
Find the true love of your life,Be friends with all of your favorite celebrities,79576,54215,0,1,1,0,0,0
Be able to bring 3 dead people you loved back to life,Be guaranteed an extra 20 years on all of your current family member's lives,51511,80318,0,1,1,0,0,0
Be abducted by an alien,Be thrown in jail for a crime you did not commit,91612,41580,0,1,1,0,0,0
Have a mild case of COVID-19 for the rest of your life,Have a heart attack several times a year,100796,31294,0,1,1,0,0,0
Fall down a flight of stairs,Get thrown out of a moving vehicle at 50mph,97670,35398,0,1,1,0,0,0
Be able to be invisible,Be able to fly everywhere,67437,66473,0,1,1,0,0,0
Always speak your mind (including very harsh truths),Never speak up for yourself,91340,41958,0,1,1,0,0,0
Find the cure for cancer,Find the solution to world peace,65631,67679,0,1,1,0,0,0
Be immune from all laws within your country,Be president of your country,95761,37278,0,1,1,0,0,0
Vomit every time you see the color brown,Have to sneeze ten times whenever you are touched,52562,96748,0,1,1,0,0,0
Find the meaning of life,Find all of the government's top secrets,57376,76107,0,1,1,0,0,0
Have to tell your crush your most embarrassing story,Have to stand in a subway naked for one hour,112151,21105,0,1,1,0,0,0
Be able to read anyone's mind,Know the exact time you will die,115559,18884,0,1,1,0,0,0
Know the exact time when each of your family members will die,Save a group of children from death and give them their intended lifetime,37175,95650,0,1,1,0,0,0
Marry an exact clone of yourself,Marry your sister/brother,100937,32270,0,1,1,0,0,0
Be able to have any pet you want,Be able to have any electronic device you want,49879,82877,0,1,1,0,0,0
Be very sensitive to everything people say,Never be able to hear the opinions of others,64888,69462,0,1,1,0,0,0
Be the smartest person in the world,Be the strongest person in the world,102357,32164,0,1,1,0,0,0
Be born into a rich family,Work for all your wealth but have more,54119,80479,0,1,1,0,0,0
Lose one eye,Lose one arm,100913,33110,0,1,1,0,0,0
Live through the bubonic plague,Live through World War One,32541,100303,0,1,1,0,0,0
Be able to taste any food by looking at it,Be able to feel anything by looking at it,76706,55637,0,1,1,0,0,0
Visit every state in your country,Visit every country in the world,26605,107085,0,1,1,0,0,0
Constantly hear a high pitch sound,Be unable to hear your voice when you speak,48033,84491,0,1,1,0,0,0
Be able to find anything by thinking about it,Be able to date any person you can think of,79915,52601,0,1,1,0,0,0
"Stay in high school your entire life but make $100,000/year","Be able to work your dream job but make $60,000/year",48702,101343,0,1,1,0,0,0
Be publicly embarrassed but have everyone forget after a year,Have your entire family publicly embarrassed for 2 years,108316,23633,0,1,1,0,0,0
Live with a complete slob,Live with a complete idiot,41893,90294,0,1,1,0,0,0
Have to live under a bridge ,Have to live inside a strangers bathroom,80559,51418,0,1,1,0,0,0
Go to work/school everyday hungry ,Go to work/school everyday exhausted ,78829,52778,0,1,1,0,0,0
Live through the sinking of the Titanic,Live through a kidnapping,66502,64954,0,1,1,0,0,0
Have to urinate on trees,Have to poop on carpets,117478,15280,0,1,1,0,0,0
Live through your biggest fear,Have to relive your biggest regret,55488,75569,0,1,1,0,0,0
Lick a pile of dog poop,Lick the floor of a school bathroom,23352,107558,0,1,1,0,0,0
Never be able to remember names,Never be able to visualize images,91392,40708,0,1,1,0,0,0
Live alone for the rest of your life,Live single with 10 kids ,84969,47222,0,1,1,0,0,0
Run 5 Miles Everyday,"Do 1,000 Jumping Jacks Everyday",73637,31288,0,1,1,0,0,0
Have unlimited water,Have unlimited Food,47340,85693,0,1,1,0,0,0
Kill your dog,Kill your best friend,85761,44854,0,1,1,0,0,0
Get super strong every time you get touched,Get super speed every time you get touched,62752,68601,0,1,1,0,0,0
Only be able to remember 3 things perfectly,Have permanent short term memory loss,76472,54278,0,1,1,0,0,0
"Be an idiot, but receive $1,000,000 each year","Be very smart, but earn $125,000 each year",48630,84093,0,1,1,0,0,0
Be stuck in a chickens body your entire life,Be stuck in a pigs body your entire life,83774,49398,0,1,1,0,0,0
Die in front of your friends,Let your friends die in front of you,91270,42211,0,1,1,0,0,0
Have to eat seven cockroaches,Have to eat an entire snake,740,1326,0,1,1,0,0,0
Lose the ability to read,Lose the ability to write,14249,67844,0,1,1,0,0,0
Ability to Fly,Ability to become invisible at will,33337,49541,0,1,1,0,0,0
Communicate with animals,Speak all languages fluently,28579,53842,0,1,1,0,0,0
Always be 2 hours late,Always be 2 hours early,13461,69557,0,1,1,0,0,0
Have a photographic Memory,Be able to forget anything at will,58859,23462,0,1,1,0,0,0
Have a personal chef,Have a personal driver,62272,20526,0,1,1,0,0,0
Control weather with your mind,Control animals with your mind,43670,38411,0,1,1,0,0,0
"Live without social media (Ex: Instagram, Twitter)","Live without video streaming platforms (Ex: Youtube, Netflix)",75646,23354,0,1,1,0,0,0
Ability to breath underwater,Ability to fall from any height without injury,34064,47418,0,1,1,0,0,0
Communicate with your past self,Communicate with your future self,27027,54556,0,1,1,0,0,0
Have unlimited money,Have unlimited friends,67149,16358,0,1,1,0,0,0
Live without music,Live without movies,22391,60104,0,1,1,0,0,0
Have perfect memory,Have perfect beauty,50382,32593,0,1,1,0,0,0
Always be sunny outside,Always be dark outside,55425,26700,0,1,1,0,0,0
Lose your spouse,Lose your parents,59941,21717,0,1,1,0,0,0
Lose 20% of your IQ,Lose 20% of your wealth,18811,64267,0,1,1,0,0,0
Walk everywhere,Run everywhere,53665,28987,0,1,1,0,0,0
Post every text you ever sent on the internet,Post every phone call you ever had on the internet,21972,59340,0,1,1,0,0,0
Find your true love but loose your career,Have a successful career without love,39713,42033,0,1,1,0,0,0
Marry an exact clone of yourself,Never have a life partner,37752,44115,0,1,1,0,0,0
"Be born in a rich, but corrupt family","Be born in a poor, but moral family",46674,35184,0,1,1,0,0,0
Never lose anything,Never break anything,59244,23147,0,1,1,0,0,0
Have your memory wiped,Have your bank account(s) wiped,19640,62554,0,1,1,0,0,0
Have a large family,Have a large friend group,34840,47488,0,1,1,0,0,0
Permanent Summer,Permanent Winter,47832,35127,0,1,1,0,0,0
Have one pet,Have one child,53481,30074,0,1,1,0,0,0
Live in the Sahara Desert,Live in Antarctica,29989,51940,0,1,1,0,0,0
Make $350k a year robbing innocent people,Make $40k year helping people in need,39761,59286,0,1,1,0,0,0
Be able to buy happiness,Be able to buy love,58172,24192,0,1,1,0,0,0
Free food for life,Free gas for life,64392,18705,0,1,1,0,0,0
Know HOW you will die,Know WHEN you will die,37633,44751,0,1,1,0,0,0
Only eat fruit,Only eat meat,33808,49007,0,1,1,0,0,0
Lose your hearing,Lose your eyesight,69415,13348,0,1,1,0,0,0
Always have the urge to poop,Always have the urge to pee,24427,57500,0,1,1,0,0,0
Lose weight by thinking,Lose weight by eating,31851,50676,0,1,1,0,0,0
Have unsupporting friends,Have no friends,24203,57964,0,1,1,0,0,0
Eat the same meals everyday,Only drink water but eat whatever,9610,72543,0,1,1,0,0,0
Never celebrate birthdays,Never celebrate holidays,62702,19811,0,1,1,0,0,0
Be stuck living forever,Have one life but have it very well spent,16096,66051,0,1,1,0,0,0
Have hands for feet,Have feet for hands,68378,13628,0,1,1,0,0,0
Be the most famous person in the world,Be the richest person in the world,12884,69607,0,1,1,0,0,0
Change gender everyday,Change families everyday,60400,21782,0,1,1,0,0,0
Lick a stranger's foot,Lick a stranger's hand,12587,69621,0,1,1,0,0,0
Save 10 People but Sacrifice yourself,Let 10 people die to save yourself,33094,48801,0,1,1,0,0,0
"Get $5,000 everytime someone lies to you","Get $100,000 everytime family/friend dies",76735,5943,0,1,1,0,0,0
Have two arms but one leg,Have two legs but one 1 arm,38111,44000,0,1,1,0,0,0
Have world Peace,Have a world that will never end,61623,20619,0,1,1,0,0,0
Do school/work in person,Do school/work at home,37032,44817,0,1,1,0,0,0
Marry the ugliest person in the world,Marry the dumbest person in the world,25543,56775,0,1,1,0,0,0
Be in a coma for one year,Be in jail for one year,55090,27301,0,1,1,0,0,0
Live underwater,Live in space,40678,42161,0,1,1,0,0,0
Have the hottest spouse,Have the smartest spouse,37436,44447,0,1,1,0,0,0
Have no internet,Have no personal vehicle,14688,68021,0,1,1,0,0,0
Laugh every time someone cries,Get angry every time someone is happy,61527,20643,0,1,1,0,0,0
Be publicly hated but secretly loved by everyone,Be publicly loved but secretly hated by everyone,71045,11193,0,1,1,0,0,0
Have your entire life made into a movie,Have your entire life written in a book,50471,31367,0,1,1,0,0,0
Have a jumpscare every 1 hour,Vomit once everyday,39289,42900,0,1,1,0,0,0
Wear a face mask for the rest of your life,Wear goggles for the rest of your life,38590,43404,0,1,1,0,0,0
Be a famous social media influencer,Be a famous hollywood movie actor,26318,55826,0,1,1,0,0,0
Be dumb and useless,Be ugly and smelly,55102,26971,0,1,1,0,0,0
Be unable to brush your teeth,Be unable to shower,58512,23859,0,1,1,0,0,0
Have an extra arm,Have an extra leg,72021,10782,0,1,1,0,0,0
Have an extremely restrictive diet,Always be constipated,59478,22117,0,1,1,0,0,0
Always Rain,Always Snow,42791,40164,0,1,1,0,0,0
Have a large flood,Have a large drought,48836,32594,0,1,1,0,0,0
Give up your life right now,Have 100 kids right now,42205,40165,0,1,1,0,0,0
Have no electricity,Have no indoor plumbing,26584,55630,0,1,1,0,0,0
Have any ability of your choice,Live in any movie/book series,64155,17866,0,1,1,0,0,0
Have no one come to your wedding,Have no one come to your birthdays,39955,42217,0,1,1,0,0,0
Die alone but have a packed funeral,Have no one come to your funeral,38086,43687,0,1,1,0,0,0
Only have street smarts,Only have book smarts,45494,36317,0,1,1,0,0,0
Have Invincibility,Have Telekinesis,37072,45521,0,1,1,0,0,0
Live in a loud city,Live in a secluded area 10 miles from anyone,45506,36261,0,1,1,0,0,0
Travel your country for free but only by train,Travel the world for free but only by boat,28242,32837,0,1,1,0,0,0
Be able to fly planes,Be able to sail boats,50238,11913,0,1,1,0,0,0
Be able to control water,Be able to control fire,43371,18173,0,1,1,0,0,0
Unstable career but make $1m/year,Stable career but make $125k/year,33719,27924,0,1,1,0,0,0
Be smart but heavily relied upon,Be stupid but completely taken care of,40306,20338,0,1,1,0,0,0
Have a 3D printer that can only make food,Have a normal 3d printer that can only make objects,36625,24932,0,1,1,0,0,0
Be granted one wish per year without changing the past,Be able to go back in time and fix one mistake per year,44248,16479,0,1,1,0,0,0
Never kill insects,Have someone die anytime you kill an insect,43512,18144,0,1,1,0,0,0
Have ten extra toes,Have ten extra fingers,24506,37279,0,1,1,0,0,0
Only watch movies,Only listen to music,20574,41391,0,1,1,0,0,0
Always have an itch somewhere on your body,Always have the feeling of an insect crawling on you,43607,17193,0,1,1,0,0,0
Have family but no friends,Have friends but no family,40046,21451,0,1,1,0,0,0
Double your IQ,Double your wealth,43720,18567,0,1,1,0,0,0
Always be cold,Always be hot,42895,18940,0,1,1,0,0,0
Be a dog,Be a cat,30598,31770,0,1,1,0,0,0
Transform into any object,Transform into any animal,18842,42772,0,1,1,0,0,0
Have a partner that does not like you,Never have a partner,14496,47191,0,1,1,0,0,0
Only Drink Coca-Cola,Only Drink Pepsi,40325,21705,0,1,1,0,0,0
Have nothing to drink,Have nothing to eat,25773,36180,0,1,1,0,0,0
Stub your toe everytime you walk,Stumble every time you walk up/down stairs,16596,44115,0,1,1,0,0,0
Live on another planet,Live on a private island,14984,46968,0,1,1,0,0,0
Go permanently bald,Have uncontrollable hair growth,28744,33136,0,1,1,0,0,0
Loose your eyebrows,Loose all the hair on your head,34655,26783,0,1,1,0,0,0
Have super strength,Have super speed,22556,39306,0,1,1,0,0,0
Have the ability to fly,Have the ability to breathe underwater,45541,16263,0,1,1,0,0,0
Win the lottery,Find true love,35655,26293,0,1,1,0,0,0
Have all the power in the world,Have all the knowledge in the world,24397,37157,0,1,1,0,0,0
Travel the world,Stay in one place and explore everything it has to offer,51482,10053,0,1,1,0,0,0
Read people's thoughts,Read people's memories,45645,16047,0,1,1,0,0,0
Live in a world without war,Live in a world without poverty,33549,27878,0,1,1,0,0,0
Be able to heal anyone,Be able to bring dead people back to life,37430,24470,0,1,1,0,0,0
Poop your pants in public,Pee your pants in public,16129,45641,0,1,1,0,0,0
Be punched once a day,Be kicked twice a day,43442,18367,0,1,1,0,0,0
Only have 5 hours of a day fully alert,Have a full 14 hour day but be exhausted,36537,23454,0,1,1,0,0,0
Be stuck on the streets for the rest of your life,Be stuck in your home for the rest of your life,20300,40873,0,1,1,0,0,0
Always have your fingers caught in the door,Always receive a splinter when touching a door,19982,40563,0,1,1,0,0,0
Only eat sweet food,Only eat spicy food,29584,32450,0,1,1,0,0,0
Be stuck outside in a tornado,Be stuck outside during a hurricane,32185,29174,0,1,1,0,0,0
Receive a life prison sentence,Recieve the death penalty,27320,34219,0,1,1,0,0,0
Only be able to dance,Only be able to sing,21837,40217,0,1,1,0,0,0
Always have a pebble in your shoe,Always have wet socks,42890,18796,0,1,1,0,0,0
Have to kill five people you know,Have to kill one stranger,8947,52727,0,1,1,0,0,0
Never get sick,Never have to sleep,39855,22147,0,1,1,0,0,0
Host a party,Attend a party,12863,49078,0,1,1,0,0,0
Be a leader and make decisions for others,Be a follower and let others make the decisions for you,47995,13385,0,1,1,0,0,0
Have a great memory,Have a great sense of humor,32767,28724,0,1,1,0,0,0
Be able to cook like a professional chef,Sing like a professional singer,36907,24559,0,1,1,0,0,0
Date someone that is similar to you,Date someone who is very different from you,40675,20179,0,1,1,0,0,0
Never experience happiness,Never experience sadness (neutral emotion),7756,54158,0,1,1,0,0,0
Travel to a new destination each year,Revisit your favorite destination repeatedly each year,45820,14897,0,1,1,0,0,0
"Have a long, fulfilling career with modest success",Short but highly successful career,28921,32004,0,1,1,0,0,0
"Have a reliable, practical car",Have a luxury car that requires tedious weekly maintenance,48083,13026,0,1,1,0,0,0
Be a perfect artist,Be a perfect mathematician,32326,29530,0,1,1,0,0,0
Have a physically abusive partner,Have an emotionally abusive partner,29286,31374,0,1,1,0,0,0
Live under a constant COVID Lockdown,Live freely but risk spreading COVID,22891,38583,0,1,1,0,0,0
Always be right,Always get what you want,15607,46440,0,1,1,0,0,0
Be unable to listen to new music,Be unable to relisten to music,47439,14132,0,1,1,0,0,0
Lie for a friend cheating on their GF/BF,Snitch on a friend cheating on their GF/BF,28465,32320,0,1,1,0,0,0
Have 1 million Tik Tok followers,Have 1 million Instagram followers,22948,38810,0,1,1,0,0,0
Have very bad spring allergies,Have a very bad Flu strain each winter,34090,26786,0,1,1,0,0,0
Be ghosted by your crush,Be told you aren't liked by your crush,20968,40470,0,1,1,0,0,0
Be able to control the weather but only within a 5 mile radius,Be able to control the global weather but for ten minutes at a time,41304,19090,0,1,1,0,0,0
See the future but be unable to change it,Change the future but be unable to foresee the consequences,31242,29353,0,1,1,0,0,0
Have a home pool,Have a home hot tub,38990,22415,0,1,1,0,0,0
Always be the center of attention,Always be an observer,22132,39491,0,1,1,0,0,0
Be the first to arrive at parties,Be the last to leave parties,33645,27803,0,1,1,0,0,0
Get struck by lightning,Get hit by large falling rocks,48699,13201,0,1,1,0,0,0
Have to bike everywhere,Have to rely solely on public transportation,28923,32083,0,1,1,0,0,0
Only eat candy,Only eat cake,24864,37101,0,1,1,0,0,0
Always yell when talking,Always whisper when talking,18054,43682,0,1,1,0,0,0
Be good at something but have no passion,Have a passion for something but not be good at it,38507,22364,0,1,1,0,0,0
Lose the ability to talk,Lose the ability to hear,48386,13259,0,1,1,0,0,0
Have a personal maid,Have a personal assistant,25180,36528,0,1,1,0,0,0
Be reincarnated with your past memories but no skill,Be reincarnateed with your past skills but not memory,30505,29957,0,1,1,0,0,0
Get a brain freeze every time you drink anything,Get a toothache every time you eat anything,48761,12355,0,1,1,0,0,0
Always have dry lips,Always have dry eyes,48699,13555,0,1,1,0,0,0
Say thank you every time someone insults you,Say screw you anytime someone compliments you,53376,8434,0,1,1,0,0,0
Screem every time you are touched,Flinch every time you are touched,9104,51877,0,1,1,0,0,0
Be the only person that doesn't get to live forever,Be the only person that lives forever,38008,22770,0,1,1,0,0,0
Be hated for always doing the right thing,Be loved for always doing the wrong thing,35651,25907,0,1,1,0,0,0
Be a cannibal,Be an entomophage (eat insects),1522,3358,0,1,1,0,0,0
